total_ms,build_ms,submit_ms,present_ms,other_ms,work_ms,vertices,draw_cmds
76.3032,2.4406,1.2877,72.5546,0.0202942,3.7486,8176,25
75.5711,1.4983,1.2645,72.7819,0.0263977,2.7892,8176,25
75.334,1.5324,1.5835,72.1973,0.0208054,3.1367,8176,25
75.8001,1.5347,1.2329,73.0107,0.0217896,2.78939,8176,25
74.7652,1.536,1.3647,71.845,0.0194931,2.9202,8176,25
77.1373,1.5019,1.2652,74.3503,0.0198975,2.78699,8176,25
75.3273,1.487,1.2394,72.5808,0.0200882,2.74649,8176,25
75.6486,1.5007,1.3183,72.8076,0.0219955,2.841,8176,25
74.4079,1.5155,1.2284,71.6455,0.0185013,2.7624,8176,25
75.42,1.5147,1.2053,72.6781,0.021904,2.74191,8176,25
74.966,1.5367,1.2942,72.1125,0.0226059,2.85351,8176,25
76.7811,1.608,2.3934,72.7588,0.0209122,4.02231,8176,25
74.0026,1.5798,1.2569,71.148,0.0178986,2.8546,8176,25
76.9237,1.4973,2.3235,73.0814,0.0214996,3.8423,8176,25
74.3474,1.5054,1.2745,71.5464,0.0210953,2.80099,8176,25
75.6175,2.5648,1.2875,71.7456,0.0195999,3.8719,8176,25
73.5303,1.4989,1.2092,70.7869,0.0353088,2.74341,8176,25
75.1849,1.5279,2.3434,71.2946,0.0189972,3.8903,8176,25
78.9475,1.4413,1.1858,76.2997,0.0207062,2.6478,8176,25
75.1336,1.4923,1.5002,72.1218,0.0192947,3.0118,8176,25
74.486,1.4887,1.1824,71.7953,0.0196075,2.6907,8176,25
75.7278,1.5262,1.363,72.8185,0.0201035,2.9093,8176,25
74.6022,1.4722,1.206,71.9055,0.0185013,2.6967,8176,25
75.2691,1.6784,1.6268,71.943,0.0209045,3.3261,8176,25
74.6593,1.4822,1.2262,71.9317,0.0192032,2.7276,8176,25
74.436,1.4704,1.3516,71.5953,0.0186996,2.8407,8176,25
74.9522,1.4446,1.1861,72.299,0.0224991,2.6532,8176,25
75.5518,1.572,1.6748,72.2847,0.0202942,3.2671,8176,25
74.6685,1.5583,1.2173,71.8753,0.017601,2.7932,8176,25
75.0276,1.4563,1.3529,72.1938,0.0246048,2.8338,8176,25
74.6196,1.4551,1.1982,71.9443,0.0219955,2.67529,8176,25
76.6371,1.4443,1.19,73.9809,0.021904,2.6562,8176,25
75.1543,1.6454,1.2648,72.2265,0.0176086,2.92781,8176,25
75.1789,1.5919,1.2648,72.3024,0.0197983,2.8765,8176,25
76.1509,1.4804,1.2062,73.4437,0.0205994,2.7072,8176,25
74.4359,1.504,1.2041,71.7086,0.0192032,2.7273,8176,25
74.8239,1.5856,1.1872,72.0331,0.0180054,2.7908,8176,25
74.1925,1.5477,1.1743,71.4528,0.0177002,2.7397,8176,25
74.3893,1.4435,1.1639,71.7632,0.0186996,2.6261,8176,25
74.1228,1.4456,1.3753,71.2841,0.017807,2.83871,8176,25
75.4586,1.4319,1.1846,72.8208,0.0213013,2.6378,8176,25
75.2856,1.5161,1.4174,72.3323,0.0197906,2.95329,8176,25
74.9441,1.5067,1.2156,72.2024,0.0194016,2.7417,8176,25
74.828,1.4981,1.404,71.9076,0.0183029,2.9204,8176,25
74.9144,1.4686,1.2693,72.1572,0.0192947,2.75719,8176,25
76.2055,1.8658,1.7584,72.5611,0.0202026,3.6444,8176,25
74.6939,1.5088,1.2064,71.96,0.0186996,2.7339,8176,25
75.2915,1.8904,1.231,72.1448,0.0253067,3.14671,8176,25
76.268,1.5852,1.298,73.3647,0.0200958,2.9033,8176,25
74.8792,1.5354,1.228,72.0969,0.0189133,2.78231,8176,25
74.7569,1.4766,1.225,72.0356,0.0196991,2.7213,8176,25
74.5046,1.6023,1.1941,71.6881,0.0201035,2.81651,8176,25
75.6965,1.6176,1.2033,72.8571,0.0184937,2.83939,8176,25
74.3861,1.5621,1.1943,71.6052,0.0244904,2.78089,8176,25
75.0843,1.4431,1.182,72.438,0.0212021,2.6463,8176,25
74.47,1.6251,1.237,71.589,0.0189056,2.881,8176,25
74.7478,1.4992,1.2096,72.0198,0.0192032,2.728,8176,25
74.4484,1.536,1.4451,71.4488,0.0185013,2.9996,8176,25
76.706,1.4832,1.1757,74.0269,0.0202103,2.67911,8176,25
74.2559,1.5978,1.2356,71.4045,0.018013,2.85141,8176,25
74.645,1.464,1.195,71.9661,0.0199051,2.6789,8176,25
75.2516,1.5577,1.2824,72.3923,0.0191956,2.8593,8176,25
75.0936,1.5838,1.2074,72.2816,0.0207977,2.812,8176,25
75.1195,1.8561,1.6505,71.5941,0.0188141,3.52541,8176,25
74.7727,1.4802,1.229,72.0444,0.019104,2.7283,8176,25
74.2591,1.6,1.2045,71.4369,0.0177078,2.8222,8176,25
75.019,1.4638,1.1823,72.3537,0.0191956,2.6653,8176,25
74.7594,1.5272,1.3585,71.8523,0.0214005,2.9071,8176,25
75.2413,1.5157,1.2258,72.4794,0.0203934,2.76189,8176,25
74.5982,1.4946,1.3705,71.7135,0.0195999,2.8847,8176,25
74.9332,1.4844,1.2318,72.1979,0.0190887,2.73529,8176,25
76.0505,1.4783,1.3779,73.1739,0.0203934,2.87659,8176,25
75.1361,1.4783,1.3031,72.336,0.018692,2.80009,8176,25
74.9097,1.6077,1.2112,72.0716,0.0191956,2.8381,8176,25
75.3222,1.4629,1.176,72.6649,0.0184021,2.6573,8176,25
74.2972,1.559,1.1862,71.5305,0.0215073,2.76671,8176,25
75.0069,1.5323,1.2211,72.2344,0.0190964,2.7725,8176,25
75.0423,1.4597,1.3432,72.2166,0.0228043,2.82571,8176,25
74.3111,1.5013,1.1745,71.6163,0.0190048,2.6948,8176,25
74.4372,1.4634,1.3346,71.6212,0.0180054,2.816,8176,25
73.1805,1.4867,1.1748,70.5013,0.0177002,2.6792,8176,25
76.3358,2.4237,1.3603,72.5291,0.0226974,3.80669,8176,25
73.6772,1.5095,1.2859,70.8631,0.018692,2.81409,8176,25
76.3785,2.7845,1.246,72.3292,0.0187912,4.04929,8176,25
74.4868,1.4723,1.2153,71.721,0.0782013,2.7658,8176,25
77.3763,2.1409,1.677,73.5377,0.0207062,3.83861,8176,25
74.6449,1.487,1.2545,71.885,0.0183945,2.7599,8176,25
75.0721,1.6014,1.4319,72.0186,0.020195,3.0535,8176,25
75.2796,1.4976,1.1971,72.5653,0.0196075,2.71431,8176,25
74.5587,1.4937,1.291,71.755,0.0190048,2.8037,8176,25
74.8517,1.4673,1.2843,72.0818,0.0182877,2.76989,8176,25
74.4236,1.4358,1.4007,71.559,0.0280991,2.8646,8176,25
74.1101,1.4683,1.2082,71.405,0.0286026,2.7051,8176,25
76.3182,1.8544,1.192,73.2515,0.0202942,3.0667,8176,25
74.878,1.4797,1.2318,72.1432,0.0232925,2.73479,8176,25
74.6649,1.5092,1.3921,71.7429,0.0206985,2.922,8176,25
76.225,1.51,1.2306,73.462,0.0223999,2.763,8176,25
74.4173,1.5023,1.3194,71.5776,0.0179977,2.8397,8176,25
76.8935,1.4798,1.1848,74.2069,0.0220108,2.68661,8176,25
74.7401,1.6147,1.2825,71.8244,0.0184937,2.9157,8176,25
75.9269,1.5881,1.2801,73.0392,0.0194931,2.8877,8176,25
74.6292,1.476,1.206,71.9278,0.0194016,2.7014,8176,25
74.4842,1.4719,1.1724,71.82,0.0198975,2.6642,8176,25
74.5767,1.5978,1.1973,71.7627,0.0189056,2.814,8176,25
74.4727,1.4829,1.4259,71.5465,0.0174103,2.92621,8176,25
74.4319,1.5459,1.2219,71.644,0.0201111,2.78791,8176,25
75.6448,1.4861,1.1943,72.9462,0.0182037,2.6986,8176,25
74.3783,1.6059,1.2703,71.4769,0.0252075,2.90141,8176,25
75.2565,1.4635,1.1744,72.5966,0.0219879,2.65989,8176,25
75.3615,1.5165,1.4068,72.4182,0.0200043,2.94331,8176,25
75.2303,1.4834,1.2437,72.4837,0.0195084,2.7466,8176,25
78.1754,2.47,2.3485,73.3341,0.0228043,4.8413,8176,25
76.3459,1.5094,2.4568,72.3573,0.0223999,3.9886,8176,25
74.2847,1.5565,1.3634,71.3427,0.0221024,2.942,8176,25
76.333,2.454,1.3834,72.4753,0.0203018,3.8577,8176,25
74.8262,1.5103,1.2311,72.0644,0.020401,2.7618,8176,25
75.9391,2.4157,1.3285,72.1762,0.0186996,3.7629,8176,25
74.7745,1.5047,1.3853,71.8227,0.0617981,2.9518,8176,25
74.3532,1.9013,1.1873,71.2459,0.0186996,3.1073,8176,25
73.3869,1.4419,1.1717,70.7562,0.0170898,2.63069,8176,25
75.3227,2.2454,1.5859,71.472,0.0194016,3.8507,8176,25
73.5444,1.4573,1.2207,70.8459,0.0205002,2.6985,8176,25
75.7864,1.4807,2.1301,72.1548,0.0207977,3.6316,8176,25
75.2682,1.5091,1.2321,72.5067,0.0202942,2.7615,8176,25
76.3377,1.4836,2.3911,72.4411,0.0218887,3.89659,8176,25
75.077,1.9954,1.2829,71.7779,0.0208054,3.2991,8176,25
75.7033,2.6295,1.2965,71.759,0.0182877,3.94429,8176,25
75.5273,1.4942,1.2038,72.8043,0.0249939,2.72299,8176,25
75.534,2.0951,1.3306,72.0898,0.0185013,3.4442,8176,25
74.2136,1.4709,1.2397,71.4706,0.032402,2.743,8176,25
74.7916,1.7937,1.4063,71.5721,0.0195084,3.21951,8176,25
75.7629,1.4512,1.1918,73.1002,0.0196991,2.6627,8176,25
74.088,1.5627,1.1621,71.3355,0.0276947,2.75249,8176,25
74.4249,1.4819,1.1822,71.7391,0.0216904,2.68579,8176,25
76.686,2.6369,1.2998,72.7271,0.0221939,3.95889,8176,25
75.8177,1.7235,1.2846,72.7875,0.0220871,3.03019,8176,25
75.3708,1.5145,1.4079,72.4272,0.0211945,2.9436,8176,25
74.7846,1.5145,1.2524,71.9989,0.0188065,2.78571,8176,25
77.8046,1.4891,1.3738,74.9199,0.0217972,2.8847,8176,25
75.2008,1.5283,1.2513,72.4012,0.0199966,2.7996,8176,25
74.196,1.504,1.2312,71.4415,0.0192947,2.75449,8176,25
75.3192,1.4988,1.2129,72.5884,0.0190964,2.7308,8176,25
74.2344,1.4831,1.2143,71.5186,0.0183945,2.7158,8176,25
76.0548,1.4794,1.1828,73.3737,0.0189056,2.68111,8176,25
77.2503,1.5037,1.1918,74.5331,0.021698,2.7172,8176,25
75.3975,2.6213,1.3688,71.3859,0.0215073,4.0116,8176,25
74.7625,1.542,1.2026,71.9996,0.0182953,2.76289,8176,25
75.39,2.5766,1.2435,71.5508,0.019104,3.8392,8176,25
74.6573,1.4688,1.1855,71.9803,0.0226974,2.67699,8176,25
78.5476,2.6067,1.3387,74.5821,0.0201111,3.96551,8176,25
75.5851,1.4884,1.2056,72.8693,0.0218124,2.71581,8176,25
77.4381,2.3225,1.404,73.6901,0.0214996,3.748,8176,25
75.3672,1.4846,2.1421,71.7201,0.0204086,3.64711,8176,25
74.5093,1.5133,1.2393,71.7372,0.0194931,2.77209,8176,25
